"","Open","High","Low","Close","Volume"
"2024-01-20",207191,208201,206116,207366,54.65616
"2024-01-21",207366,208356,206303,206637,44.30396
"2024-01-22",206645,207025,197904,198584,206.47526
"2024-01-23",198636,201918,192812,199365,183.90341
"2024-01-231",198636,201918,192812,198567,179.82431
"2024-01-221",206645,207025,197904,198584,206.47526
"2024-01-211",207366,208356,206303,206637,44.30396
"2024-01-201",207191,208201,206116,207366,54.65616
"2024-01-19",205549,209324,199726,207191,181.47078
"2024-01-18",212353,213155,202000,205539,168.26401
"2024-01-17",213626,214049,209326,212336,126.05504
"2024-01-16",208979,215800,207600,213652,137.94138
"2024-01-15",205300,212964,205242,209007,150.28577
"2024-01-14",210652,211688,205268,205301,103.18065
"2024-01-13",210054,212660,208508,210684,111.94968
"2024-01-12",227567,228414,204000,210068,294.27475
"2024-01-11",230580,240018,224459,227582,277.64176
"2024-01-10",227958,235600,218267,230620,263.23157
"2024-01-09",229956,236373,222344,227880,291.17324
"2024-01-08",216437,231408,212850,229928,275.6252
"2024-01-07",216200,218985,214902,216471,90.46687
"2024-01-06",217000,217342,213702,216195,75.99308
"2024-01-05",218245,218763,209395,217000,181.20271
"2024-01-04",212660,221000,211000,218299,149.24194
"2024-01-03",222188,224519,204670,212685,289.39391
"2024-01-02",217733,226020,217669,222202,252.73386
"2024-01-01",209248,217799,208656,217790,92.80522
"2023-12-31",207683,211600,207200,209177,93.60931
"2023-12-30",207070,209767,204563,207703,79.21742
"2023-12-29",208631,211750,204100,207079,155.12642
"2023-12-28",211304,212900,206230,208632,135.87363
"2023-12-27",206301,212637,204750,211317,142.45676
"2023-12-26",215125,215212,202900,206301,197.77316
"2023-12-25",211673,216250,210602,215128,94.68605
"2023-12-24",214920,216283,210504,211765,158.34855
"2023-12-23",215367,215679,212490,214921,71.23633
"2023-12-22",215865,218100,212673,215383,135.17365
"2023-12-21",216149,217932,213189,215869,164.35598
"2023-12-20",207386,217900,207116,216146,176.30998
"2023-12-19",210458,214500,204500,207363,158.68704
"2023-12-18",206586,210834,202259,210422,160.56863
"2023-12-17",210353,211498,206111,206580,82.77276
"2023-12-16",208787,212746,207251,210353,75.87324
"2023-12-15",212407,212904,207354,208774,130.32241
"2023-12-14",212555,214792,205500,212416,186.27822
"2023-12-13",207366,215500,203281,212551,195.50023
"2023-12-12",205457,209550,203395,207407,151.42341
"2023-12-11",218011,218080,199665,205507,281.65778
"2023-12-10",217473,219029,216775,218000,72.85089
"2023-12-09",219091,220109,216695,217484,83.94957
"2023-12-08",213633,221878,212616,219060,159.62489
"2023-12-07",216007,217702,211478,213654,177.27689
"2023-12-06",218997,219948,215200,216041,193.43691
"2023-12-05",208861,220848,205733,218915,338.45336
"2023-12-04",197240,210849,197239,208898,353.94446
"2023-12-03",194244,198100,193322,197213,141.48904
"2023-12-02",190375,195450,190049,194255,119.9622
"2023-12-01",186677,191615,186038,190375,231.0412
"2023-11-30",186430,187768,184815,186618,141.92989
"2023-11-29",185203,188280,184534,186435,146.18039
"2023-11-28",183674,187969,181802,185204,135.54849
